name,year,count
Claus-Peter Richter,2001,1
Claus-Peter Richter,2002,2
Claus-Peter Richter,2003,0
Claus-Peter Richter,2004,6
Claus-Peter Richter,2005,0
Claus-Peter Richter,2006,11
Claus-Peter Richter,2007,2
Claus-Peter Richter,2008,8
Claus-Peter Richter,2009,3
Claus-Peter Richter,2010,1
Claus-Peter Richter,2011,3
Claus-Peter Richter,2012,3
Claus-Peter Richter,2013,1
Claus-Peter Richter,2014,0
Claus-Peter Richter,2015,2
Claus-Peter Richter,2016,2
Claus-Peter Richter,2017,0
Claus-Peter Richter,2018,3
Claus-Peter Richter,2019,1
Claus-Peter Richter,2020,1
Claus-Peter Richter,2021,2
Claus-Peter Richter,2022,2
Claus-Peter Richter,2023,1
Claus-Peter Richter,2024,1
Samuel I. Stupp,2000,6
Samuel I. Stupp,2001,4
Samuel I. Stupp,2002,0
Samuel I. Stupp,2003,3
Samuel I. Stupp,2004,26
Samuel I. Stupp,2005,31
Samuel I. Stupp,2006,6
Samuel I. Stupp,2007,2
Samuel I. Stupp,2008,0
Samuel I. Stupp,2009,2
Samuel I. Stupp,2010,4
Samuel I. Stupp,2011,10
Samuel I. Stupp,2012,2
Samuel I. Stupp,2013,4
Samuel I. Stupp,2014,7
Samuel I. Stupp,2015,5
Samuel I. Stupp,2016,4
Samuel I. Stupp,2017,0
Samuel I. Stupp,2018,2
Samuel I. Stupp,2019,4
Samuel I. Stupp,2020,1
Samuel I. Stupp,2021,4
Samuel I. Stupp,2022,3
Samuel I. Stupp,2023,2
Mary Alison Mahieu,2017,2
Mary Alison Mahieu,2018,2
Mary Alison Mahieu,2019,1
Mary Alison Mahieu,2020,1
Mary Alison Mahieu,2021,1
Rosalind Ramsey-Goldman,2001,2
Rosalind Ramsey-Goldman,2002,14
Rosalind Ramsey-Goldman,2003,5
Rosalind Ramsey-Goldman,2004,7
Rosalind Ramsey-Goldman,2005,7
Rosalind Ramsey-Goldman,2006,4
Rosalind Ramsey-Goldman,2007,8
Rosalind Ramsey-Goldman,2008,10
Rosalind Ramsey-Goldman,2009,0
Rosalind Ramsey-Goldman,2010,1
Rosalind Ramsey-Goldman,2011,4
