faculty_full_name,year_id,num_external_grants
Abdullah Almaghraby,2013,
Abdullah Almaghraby,2014,
Abdullah Almaghraby,2015,
Abdullah Almaghraby,2016,
Abdullah Almaghraby,2017,
Abdullah Almaghraby,2018,
Abdullah Almaghraby,2019,
Abdullah Almaghraby,2020,
Abdullah Almaghraby,2021,
Abdullah Almaghraby,2022,
Abdullah Almaghraby,2023,
Abel N. Kho,2014,
Abel N. Kho,2015,
Abel N. Kho,2016,
Abel N. Kho,2017,
Abel N. Kho,2018,
Abel N. Kho,2019,
Abel N. Kho,2020,
Abel N. Kho,2021,
Abel N. Kho,2022,
Abel N. Kho,2023,
Abel N. Kho,2024,
Adam B. Weiner,2012,
Adam B. Weiner,2013,
Adam B. Weiner,2014,
Adam B. Weiner,2015,
Adam B. Weiner,2016,
Adam B. Weiner,2017,
Adam B. Weiner,2018,
Adam B. Weiner,2019,
Adam B. Weiner,2020,
Adam B. Weiner,2021,
Adam B. Weiner,2022,
Alexander H. Stegh,2010,
Alexander H. Stegh,2011,
Alexander H. Stegh,2012,
Alexander H. Stegh,2013,
Alexander H. Stegh,2014,
Alexander H. Stegh,2015,
Alexander H. Stegh,2016,
Alexander H. Stegh,2017,
Alexander H. Stegh,2018,
Alexander H. Stegh,2019,
Alexander H. Stegh,2020,
Alexander W. Korutz,2011,
Alexander W. Korutz,2012,
Alexander W. Korutz,2013,
Alexander W. Korutz,2014,
Alexander W. Korutz,2015,
Alexander W. Korutz,2016,
Alexander W. Korutz,2017,
Alexander W. Korutz,2018,
Alexander W. Korutz,2019,
Alexander W. Korutz,2020,
Alexander W. Korutz,2021,
Amelie Petitclerc,2011,
Amelie Petitclerc,2012,
Amelie Petitclerc,2013,
Amelie Petitclerc,2014,
Amelie Petitclerc,2015,
Amelie Petitclerc,2016,
Amelie Petitclerc,2017,
Amelie Petitclerc,2018,
Amelie Petitclerc,2019,
Amelie Petitclerc,2020,
Amelie Petitclerc,2021,
Angelo P. Tanna,2014,
Angelo P. Tanna,2015,
Angelo P. Tanna,2016,
Angelo P. Tanna,2017,
Angelo P. Tanna,2018,
Angelo P. Tanna,2019,
Angelo P. Tanna,2020,
Angelo P. Tanna,2021,
Angelo P. Tanna,2022,
Angelo P. Tanna,2023,
Angelo P. Tanna,2024,
Bonnie Sue Essner,2011,
Bonnie Sue Essner,2012,
Bonnie Sue Essner,2013,
Bonnie Sue Essner,2014,
Bonnie Sue Essner,2015,
Bonnie Sue Essner,2016,
Bonnie Sue Essner,2017,
